favouritesCount,followers,location,mediaCount,name,createdAt,lang,likeCount,quoteCount,replyCount,retweetCount,retweettext,retweet/type,retweet/viewCount,retweetCount,text,viewCount
22181,10835906,"Seattle, WA",4141,Starbucks,Thu Nov 03 13:02:59 +0000 2022,,,,,,,,,673,"Fave drinks, fave people: the holidays are here. https://t.co/AjTyS72iAU",
22181,10835906,"Seattle, WA",4141,Starbucks,Wed Nov 02 13:00:05 +0000 2022,,,,,,,,,2087,Let the countdown begin. ✨ The holidays are back on November 3rd at Starbucks. https://t.co/p48K0nDvco,
22181,10835906,"Seattle, WA",4141,Starbucks,Tue Nov 01 16:02:36 +0000 2022,,,,,,,,,538,"Me Oct. 31: carving pumpkins 🎃
Me Nov. 1: hanging lights ✨",
22181,10835906,"Seattle, WA",4141,Starbucks,Fri Oct 28 15:31:50 +0000 2022,en,587172,1937,538,39174,"Dude at Starbucks just left the crowded store and went “Bye everyone,” and every single person in that store said goodbye I literally just met the main character",tweet,,39174,"RT @dietcokegirI: Dude at Starbucks just left the crowded store and went “Bye everyone,” and every single person in that store said goodbye…",
22181,10835906,"Seattle, WA",4141,Starbucks,Tue Oct 25 17:55:49 +0000 2022,,,,,,,,,48,See you on November 16! 💚,
22181,10835906,"Seattle, WA",4141,Starbucks,Thu Oct 20 22:58:31 +0000 2022,,,,,,,,,1823,Anyone else ordering a Pumpkin Cream Cold Brew to stay up until midnights? 🌌,
22181,10835906,"Seattle, WA",4141,Starbucks,Thu Oct 20 15:00:01 +0000 2022,,,,,,,,,1345,"if you see me licking the pumpkin cream cold foam off the lid, no you didn't",
22181,10835906,"Seattle, WA",4141,Starbucks,Fri Oct 14 15:00:01 +0000 2022,,,,,,,,,280,Who's the pumpkin to your spice? 🧡🎃,
22181,10835906,"Seattle, WA",4141,Starbucks,Thu Oct 13 15:00:01 +0000 2022,,,,,,,,,172,"The chai-fecta 

✨ Chai Tea Latte
🕯️ Cinnamon candle 
🧡 Cozy blanket",
22181,10835906,"Seattle, WA",4141,Starbucks,Wed Oct 12 15:10:55 +0000 2022,en,397,111,0,103,Members of @Starbucks Rewards and @Delta SkyMiles can now link accounts to earn even more rewards like miles and Stars.  Read more here: https://t.co/SstUOyWLIa,tweet,,103,RT @StarbucksNews: Members of @Starbucks Rewards and @Delta SkyMiles can now link accounts to earn even more rewards like miles and Stars.…,
22181,10835906,"Seattle, WA",4141,Starbucks,Mon Oct 31 15:00:29 +0000 2022,,,,,,,,,45,"Trick-or-treat, these costumes are sweet. 💚🎃

A thread 🧵",
22181,10835906,"Seattle, WA",4141,Starbucks,Mon Oct 31 15:00:35 +0000 2022,,,,,,,,,50,📸  Jackie J. (FB) https://t.co/mOzuAkCMwv,
22181,10835906,"Seattle, WA",4141,Starbucks,Mon Oct 31 15:00:36 +0000 2022,,,,,,,,,42,📸 @faiello_mari https://t.co/xW2hbA49S7,
22181,10835906,"Seattle, WA",4141,Starbucks,Thu Oct 06 15:00:01 +0000 2022,,,,,,,,,133,"If you asked me to choose between Pumpkin Spice Latte, Pumpkin Cream Cold Brew and Apple Crisp Oatmilk Macchiato I would simply pick all three.",
22181,10835906,"Seattle, WA",4141,Starbucks,Wed Oct 05 15:01:18 +0000 2022,,,,,,,,,830,"Me: I'll sleep during the flight.

Also me: Immediately gets coffee at the airport.",
22181,10835906,"Seattle, WA",4141,Starbucks,Tue Oct 04 15:00:03 +0000 2022,,,,,,,,,21,"Our Latinx partners (employees) are helping build stronger and kinder communities for all. This #LatinxHeritageMonth, join them in supporting @FriendsSoCal. Help impact generational change by empowering youth with professional mentors. Get involved at https://t.co/8TaKLM8O2v https://t.co/xH0DocOE4L",
22181,10835906,"Seattle, WA",4141,Starbucks,Mon Oct 03 21:01:33 +0000 2022,en,153,11,0,40,Join Starbucks and The Starbucks Foundation in supporting communities impacted by Hurricanes Fiona and Ian through partnerships with World Central Kitchen and the Red Cross. Learn more: https://t.co/UXcdkvnbwf,tweet,,40,RT @StarbucksNews: Join Starbucks and The Starbucks Foundation in supporting communities impacted by Hurricanes Fiona and Ian through partn…,
22181,10835906,"Seattle, WA",4141,Starbucks,Mon Oct 03 19:10:28 +0000 2022,,,,,,,,,77,PSL for Aaron?,
22181,10835906,"Seattle, WA",4141,Starbucks,Sat Oct 01 15:00:00 +0000 2022,,,,,,,,,1044,orange you glad it’s october 🧡🍂🍁🎃,
22181,10835906,"Seattle, WA",4141,Starbucks,Fri Sep 30 15:00:03 +0000 2022,,,,,,,,,47,Now the wedding party is complete. https://t.co/gFMXfw4Myw,
22181,10835906,"Seattle, WA",4141,Starbucks,Thu Sep 29 15:00:00 +0000 2022,,,,,,,,,251,Happy #NationalCoffeeDay! https://t.co/uXiafNVFSg,
22181,10835906,"Seattle, WA",4141,Starbucks,Sat Sep 24 15:00:00 +0000 2022,,,,,,,,,66,Which Starbucks drink would you take to homecoming?,
22181,10835906,"Seattle, WA",4141,Starbucks,Fri Sep 23 15:00:01 +0000 2022,,,,,,,,,164,Gimme a P! Gimme an S! Gimme an L! 📣,
22181,10835906,"Seattle, WA",4141,Starbucks,Thu Sep 22 15:00:00 +0000 2022,,,,,,,,,1404,"Happy first day of fall! 🍂

And a happy 22nd day of fall for those who have been celebrating since August. 😊",
22181,10835906,"Seattle, WA",4141,Starbucks,Sat Sep 17 15:00:30 +0000 2022,,,,,,,,,412,Romanticizing our coffee run with an extra-large sweater and a 90's playlist. ☕🍂,
22181,10835906,"Seattle, WA",4141,Starbucks,Wed Sep 14 15:00:31 +0000 2022,,,,,,,,,131,Hot take: people who live in places without cold weather go the hardest on fall. 🎃🍂,
22181,10835906,"Seattle, WA",4141,Starbucks,Mon Sep 12 15:05:08 +0000 2022,,,,,,,,,72,Make Fall your own. Try your Iced Chai Tea Latte with Pumpkin Cream Cold Foam. 🍂 https://t.co/5hwpCVgIOd,
22181,10835906,"Seattle, WA",4141,Starbucks,Fri Sep 09 15:00:00 +0000 2022,,,,,,,,,144,The Pumpkin Spice Frappuccino® Drink knows how to make an entrance. 🪄 https://t.co/BUyRTT7vlB,
22181,10835906,"Seattle, WA",4141,Starbucks,Thu Sep 08 15:52:10 +0000 2022,,,,,,,,,488,our favorite thing about pumpkin spice is that it tastes like pumpkin spice,
22181,10835906,"Seattle, WA",4141,Starbucks,Wed Sep 07 15:00:31 +0000 2022,,,,,,,,,95,Sink deeper into Fall. 🍎 Order the Iced Apple Crisp Oatmilk Macchiato today. https://t.co/yHBNWimGhj,
22181,10835906,"Seattle, WA",4141,Starbucks,Tue Sep 06 18:11:00 +0000 2022,en,589,1,14,36,i got my dad a @Starbucks pumpkin cream cold brew today &amp; he took one sip &amp; goes “i understand now” 😂,tweet,,36,RT @Mollieebakerr13: i got my dad a @Starbucks pumpkin cream cold brew today &amp; he took one sip &amp; goes “i understand now” 😂,
22181,10835906,"Seattle, WA",4141,Starbucks,Tue Sep 06 15:00:03 +0000 2022,,,,,,,,,71,Summer break is great but have you ever been a parent quietly sipping their coffee alone? 😌,
22181,10835906,"Seattle, WA",4141,Starbucks,Fri Sep 02 15:00:34 +0000 2022,,,,,,,,,149,Paint the city pumpkin with a PSL. 🎨🎃💚 https://t.co/BGxZHI0K9q,
